id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
jRzUoGEhEe6ssPdX3DtRzw,Stozhary,".
  T",Stozhary,.</li,3455,3463,[],False
Ratu0mEiEe6sxiOjsIuKEg,My ears are red,—I’m ,My ears are red,—I’m ,4702,4717,[],False
TlqnvmEiEe6lV8vEfIZO2Q,Gorodnishche,"


  ",Gorodnishche,</h3>,4779,4791,[],False
CpEwTmEwEe6bbQPSE3Tmvg,"A warden let his needle drop—
  Did not stitch the rip",".


N","A warden let his needle drop—</li>
  <li>Did not stitch the rip",.</li,8746,8800,"[Annotation(id='FSmSlGEwEe6ryN8CIg-3SQ', text='stitch the rip', suffix='.\n\n\nN', text_html='stitch the rip', suffix_html='.</li', start_position=8786, end_position=8800, children=[], is_child=True)]",False
FSmSlGEwEe6ryN8CIg-3SQ,stitch the rip,".


N",stitch the rip,.</li,8786,8800,[],True
tQkAXIAQEe6o5T9IoyRF0A,Portrait, of a,Portrait, of a,8814,8822,[],False
pOVlcGEwEe6zOMcyA2qaBw,"a cold
  With inflammation",. But," single. With his clueless head</li>
  <li>Snapping the branches of bird cherry,</li>
  <li>Addressing to it many queries—</li>
  <li>Like what’s “a courier,” why, and when?—</li>
  <li>Forgetting he should darn his stockings,</li>
  <li>And also constantly chain-smoking,</li>
  <li>His bike completely overworking,</li>
  <li>
    <p>He flickers like a wound-up man.</p>
  </li>
  <li>He’s poor and foolish, and high-strung.</li>
  <li>Nanny, why can’t I sleep tonight?</li>
  <li>If old—he makes himself look young</li>
  <li>And if he’s young—he’ll soon be old.</li>
  <li>He’s feverish and he has a cold</li>
  <li>With inflammation",. But,9572,9598,[],False
yTApVGEyEe6QI0N5SPqeqw,"Crossing the land both bright and dreary,
  The land unquenched and mostly arid,
  And with his head washed only rarely
  Snapping the branches of bird cherry,
  Addressing to it many queries,","
  Th","Crossing the land both bright and dreary,</li>
  <li>The land unquenched and mostly arid,</li>
  <li>And with his head washed only rarely</li>
  <li>Snapping the branches of bird cherry,</li>
  <li>Addressing to it many queries,",</li>,12694,12886,[],False
z6WOXmEzEe6WH39pQu2lOw,Sila Silych,",
  U",Sila Silych,",</li",14781,14792,[],False
CYWK1GE0Ee6bYG-8gmjJYA,Sila Silych,",
  S",Sila Silych,",</li",15676,15687,[],False
wl6PxGE0Ee6SOQ9KX6h0TA,Bydogoshch,",
  B",Bydogoshch,",</li",17164,17174,[],False
AWw_zGE1Ee6jekPGxQw2KQ,Bydogoshch,":
  M",Bydogoshch,:</li,17482,17492,[],False
