id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
UwanZsohEeynRifAk5SJxA,no catchin up with the dates,", the",no catchin up with the dates,", the",672,700,"[Annotation(id='-kdzqMogEey375dScSgH1w', text='catchin', suffix=' up w', text_html='catchin', suffix_html=' up w', start_position=675, end_position=682, children=[], is_child=True)]",False
-kdzqMogEey375dScSgH1w,catchin, up w,catchin, up w,675,682,[],True
JHYbxEwrEe61Fvfv3lVawA,Zynzyrela’s, Disc,Zynzyrela’s, <em>,797,808,[],True
JVTJPMoiEeyHvl80S2J5Tw,Zynzyrela’s, Disc,Zynzyrela’s, <em>,797,808,"[Annotation(id='JHYbxEwrEe61Fvfv3lVawA', text='Zynzyrela’s', suffix=' Disc', text_html='Zynzyrela’s', suffix_html=' <em>', start_position=797, end_position=808, children=[], is_child=True)]",False
qiGJOMojEeyQsN9C3FgChQ,Discords Beyond the Itil,. Wit,Discords Beyond the Itil,</em>,809,833,"[Annotation(id='Dk33-kwqEe6uIy9JtEs36g', text='Itil', suffix='. Wit', text_html='em>D', suffix_html='iscor', start_position=829, end_position=833, children=[], is_child=True)]",False
Dk33-kwqEe6uIy9JtEs36g,Itil,. Wit,em>D,iscor,829,833,[],True
h5AgIsokEeytCUMaYTNzLA,dwellin in substantial towns,. Whe,dwellin in substantial towns,. Whe,1395,1423,[],False
sv07kHpzEe6PiL_ySjgMjw,"is he snubbin a mugful of beneficially social brew? No 
way, I would never refuse what I’m used to", and ,"is 
sharps, is he snubbin a mugful of beneficially social brew? No 
way, I would never refuse what I’m used to", and ,2568,2666,[],False
7TlhEkzEEe6x7m8eCJeD1Q,"This is, if You don’t mind, this 
chronicle",. One,"This is, if You don’t mind, this 
chronicle",. One,7363,7406,"[Annotation(id='fzqxYsozEeysjQO7N9MRdQ', text='You', suffix=' don’', text_html='You', suffix_html=' don’', start_position=7375, end_position=7378, children=[], is_child=True)]",False
fzqxYsozEeysjQO7N9MRdQ,You, don’,You, don’,7375,7378,[],True
-JSJQkzEEe6SKz_L_ZH6mw,You don’t mind,", thi",You don’t mind,", thi",7375,7389,"[Annotation(id='fzqxYsozEeysjQO7N9MRdQ', text='You', suffix=' don’', text_html='You', suffix_html=' don’', start_position=7375, end_position=7378, children=[], is_child=True)]",False
x-eb8N38Eeyw93fop6kPpw,the dales and in the hills,. And,the dales and in the hills,. And,9224,9250,"[Annotation(id='7Lt2zkzGEe6KWFv-kj9fAQ', text='hills', suffix='. And', text_html='hills', suffix_html='. And', start_position=9245, end_position=9250, children=[], is_child=True)]",False
7Lt2zkzGEe6KWFv-kj9fAQ,hills,. And,hills,. And,9245,9250,[],True
ZOTGRE14Ee6MofvxmHxAKA,Nikolay," 
fro",Nikolay," 
fro",16887,16894,[],False
lYhqLMozEeyPIO_9oFpztA,You, unde,You, unde,17403,17406,[],False
ioDZKk18Ee6zI8dONRNnNA,Zynzyrella,", you",Zynzyrella,", you",19962,19972,[],False
7PtGrE2MEe6U4v-0Z-ghig,Orina, stoo,Orina, stoo,25747,25752,[],False
