id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
c2NE3IHXEe6llW9VQLmKwg,Your, moth,Your, moth,901,905,[],False
GiBI9mX-Ee6ePM9dT8lF2w,three more of travel restrictions,. Tha,three more of travel restrictions,. Tha,6110,6143,[],False
86cF3GX_Ee6GNqPjyZvy3w,You,. In ,You,. In ,8179,8182,[],False
NiKPbGYPEe6Vjp_T_tdnmg,"sharp teeth, long tail",". 
Yo","sharp teeth, long tail",". 
Yo",22205,22227,[],False
c9KM0IHbEe6u3BOU14zpQw,You, have,You, have,30226,30229,[],False
