id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
KTxBkllaEe6TnF_DzPF3tw,"a prophet who stole 
from Christians two hours of light in the month of July","—I 
d","a prophet who stole 
from Christians two hours of light in the month of July","—I 
d",2690,2766,[],False
qfNGRlodEe6tzRu1oD32gg,Pyotr,", oh,",Pyotr,", oh,",5885,5890,[],False
_Mt-7FodEe6MNXeBuAu6wQ,zhe-zhe-zhe,? Exa,zhe-zhe-zhe,? Exa,6239,6250,[],False
MLAAdFofEe6hFnv3hsk93g,treat, you ,treat, you ,6662,6667,[],False
6PKL6Fq6Ee6nxZeF7ubh5Q,someone hit him with a heavy sack,. Tha,someone hit him with a heavy sack,. Tha,11284,11317,[],False
e3jJvlrAEe6hiLu0mXxrZQ,valenok,"? 
I’",valenok,</em>,16083,16090,[],False
kV9fvFrQEe6kJ1ey9r35hQ,valenki, and ,valenki,</em>,17361,17368,[],False
4FiQZlrQEe6aE8_kIu5Ozw,"It is wonderful outside—our native land. Kinda mother, 
but strikingly sly, deceitful. In the beginnin, overall, it appears 
to be—land like land, only poor, with nothin in it. But after 
you’ve made yourself at home, looked more carefully—there’s 
everythin in it, except valenki",. We ,"It is wonderful outside—our native land. Kinda mother, 
but strikingly sly, deceitful. In the beginnin, overall, it appears 
to be—land like land, only poor, with nothin in it. But after 
you’ve made yourself at home, looked more carefully—there’s 
everythin in it, except <em>valenki",</em>,17783,18063,"[Annotation(id='6mgf4FrQEe60eyNq4qf5jA', text='valenki', suffix='. We ', text_html='valenki', suffix_html='</em>', start_position=18056, end_position=18063, children=[], is_child=True)]",False
6mgf4FrQEe60eyNq4qf5jA,valenki,. We ,valenki,</em>,18056,18063,[],True
l-ZXdlrSEe6n-K_vFsglxQ,Ilyich,", 
th",Ilyich,", 
th",19163,19169,[],False
lx1FQFrVEe6LfpvnVm8PQA,Ilyich,—star,Ilyich,—star,22704,22710,[],False
A1XRpFw6Ee6Z9iuqRAh22A,Mayday,", Yak",Mayday,", Yak",24515,24521,[],False
CFPBjFxLEe6PNo8LCFK-rQ,Yakov, Ilyi,Yakov, Ilyi,24523,24528,[],False
visteFxMEe6vVidLPBN0bQ,"once-upon-a-time 
tale",? Tha,"once-upon-a-time 
tale",? Tha,26805,26827,[],False
hdk0ClxNEe6OiUvUpX_L7Q,Yakov, Ilyi,Yakov, Ilyi,27589,27594,[],False
6UcjilxNEe65wsdGJ2SStA,valenki,. In ,valenki,</em>,27788,27795,[],False
msuIgFxOEe6oz1OXAn37oA,valenki, we s,valenki,</em>,28166,28173,[],False
SOzJklxPEe6Ue29h8KcTfg,valenki, good,valenki,</em>,29057,29064,[],False
03BSqlxPEe6UfpMeuIt3_w,galife,", I s",galife,</em>,29751,29757,[],False
