id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
Rd5_AmRWEe6bQxeD8skfIg,V,. Kar,V,. Kar,1764,1765,[],True
Va3bTmRWEe60r-vHJNr9VA,V. Karaban,", who",V. Karaban,", who",1764,1774,"[Annotation(id='Rd5_AmRWEe6bQxeD8skfIg', text='V', suffix='. Kar', text_html='V', suffix_html='. Kar', start_position=1764, end_position=1765, children=[], is_child=True)]",False
Ng_-4GR3Ee6WhFN2Dg64eg,goat, or a,goat, or a,6202,6206,[],False
60xg5mUSEe6a6qsEZcFMSA,Son of Man,. He ,Son of Man,. He ,10605,10615,[],False
cD3r1GUUEe62_hdl01lXTQ,sting,", sim",sting,", sim",11865,11870,[],False
No_mtmUpEe6bPneX83nlDQ,schlagbauman,", and",schlagbauman,</em>,18072,18084,[],False
e90eDmUqEe6lcZt_6a24gw,"havin taken the son and 
havin changed your and his last name, and where are you both 
right now—nobody knows",. On ,"havin taken the son and 
havin changed your and his last name, and where are you both 
right now—nobody knows",. On ,18989,19098,[],False
