id,text,suffix,text_html,suffix_html,start_position,end_position,children,is_child
IMO_umLHEe6SZjfvTGv95A,heather,",
  E",heather,", of ",4228,4235,[],False
vcqNBmLIEe6-X3-PuP246Q,hump,".
  ✽",hump,.</li,7284,7288,[],False
TgneTGLLEe6x8R9rp15cpw,"The eclogue was forming
  By itself. Mumbling its rhymes,
  I reached Polenov’s house, inviting,
  Followed Savrasov’s winding tracks,
  And soon, like in Turgenev’s writing
  I spooked some of Aksakov’s ducks",".
  I","The road’s dust, and crickets’ chimes</li>
  <li>Grew louder. The eclogue was forming</li>
  <li>By itself. Mumbling its rhymes,</li>
  <li>I reached Polenov’s house, inviting,</li>
  <li>Followed Savrasov’s winding tracks,</li>
  <li>And soon, like in Turgenev’s writing</li>
  <li>I spooked some of Aksakov’s ducks",.</li,9029,9238,"[Annotation(id='Zb9nlmLLEe6HnUtcLvYv4w', text='eclogue', suffix=' was ', text_html='eclogue', suffix_html=' was ', start_position=9033, end_position=9040, children=[], is_child=True)]",False
Zb9nlmLLEe6HnUtcLvYv4w,eclogue, was ,eclogue, was ,9033,9040,[],True
nfrNCGLLEe62z5vt_EijlA,Aksakov’s, duck,Aksakov’s, duck,9223,9232,[],True
o29EEmLLEe6i8O-VPY_pDw,Aksakov’s ducks,".
  I",Aksakov’s ducks,.</li,9223,9238,"[Annotation(id='nfrNCGLLEe62z5vt_EijlA', text='Aksakov’s', suffix=' duck', text_html='Aksakov’s', suffix_html=' duck', start_position=9223, end_position=9232, children=[], is_child=True)]",False
wmDF3mLMEe6X4_dTu-89Aw,you’ll rise,".
  I",you’ll rise,.</li,10745,10756,[],False
pzl6lGLqEe6WS28g_6BasA,apple,".
  A",apple,. And,12634,12639,[],False
pM6YcGLqEe6rkafSTpB8zw,Apple,. But,Apple,. But,12643,12648,[],False
qOwXUmLqEe61qTtUDQuKew,crabapple,".
  O",crabapple,.</li,12661,12670,[],False
q5aFeGLqEe6QuWdf9t7r_w,Crab,. But,Crab,. But,12848,12852,[],False
rVZcWGLqEe68wDOqKiVLtA,apple,".
  A",apple,.</li,12869,12874,[],False
tOc1oGLqEe6JC-_dEL4Wwg,apple,".
  A",apple,. Loo,13109,13114,[],False
bS5JeGLrEe6vwWPDowCOUg,crab,".
  I",crab,.</li,13136,13140,[],False
7PqvTmLqEe6Rz5--BN0W0Q,apple,".
  A",apple,. Nic,13336,13341,[],False
8MZfpmLqEe6FewsQCEPysQ,crabapple,".
  I",crabapple,.</li,13363,13372,[],False
9dHgYGLqEe6_aSO1jL68Dg,apple,".
  A",apple,.</li,13578,13583,[],False
-l_EnmLqEe6rlvvRYMDpoQ,crab,".
  B",crab,.</li,13610,13614,[],False
F-XqamLsEe6MRpcYAh2sKg,"when it was light
  ’Til midnight dimmed the skies",",
  O","when the leaves were gone,</li>
  <li>On boats or on the plain.</li>
  <li>Or on the rafts, when it was light</li>
  <li>’Til midnight dimmed the skies",",</li",14011,14061,[],False
