Id,highlighted,text,ru_trans,tags,prefix,suffix,highlighted_html,suffix_html,position_start,position_end,start_container,end_container,chapter,ch_num,lang,overlap,img_src,alt_text_eng,dog_sound
tR6O-Ad3Ee2YNAfSqErX_w,промеж,Dated/low: between.,Устаревшее/просторечное: между.,['register/style'],л. И легла крестовина в аккурат ," них, двух обломков, а те лежали",промеж," них, двух обломков, а те лежали",3923,3929,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],04. Заитильщина Дзындзырэлы,04,ru,none,[],[],False
nnUIfKCvEe2SMR_c_-Hepw,"Одна все, слышно, глухой прикидывалась, вторая — немой, на гоне голоса не подавала намеренно","This passage brings to mind the discussion in chapter 1 about hunters who are deaf and/or mute (R150, 157/E4, 15). The humans and animals switch roles, although, of course, they ""pretend."" Animal-human motif.","Этот отрывок напоминает о разговоре о глухих и/или немых охотников в главе 1  (R150, 157/E4, 15). Люди и животные меняются местами, хоть они, конечно, и ""притворяются"". Мотив животных-людей.","['intratextuality', 'motif']","
порешить, но и те бестолковые. ",". Нука, псина несчастная, поди с","Одна все, слышно, глухой прикидывалась, вторая — немой, на гоне голоса не подавала намеренно",". Нука, псина несчастная, поди с",3928,4020,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],17. Последнее,17,ru,none,[],[],False
4I-vup7nEe2yxp-lffKrDw,твердь,Dated: soil.,"Устаревшее: почва.
",['register/style'],"тными курьими ножками 
дворовую ",", как все достигнутое балаболкам",твердь,", как все достигнутое балаболкам",3929,3935,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],13. Картинки с выставки,13,ru,none,[],[],False
xgn60oeCEe27tQProar-dg,шиты,Sewing theme.,Тема шитья.,['theme'],"онял я, чуня, что 
домы его все ", из пепловатого такого вельвета ,шиты, из пепловатого такого вельвета ,3930,3934,/div[1]/main[1]/article[1]/p[2],/div[1]/main[1]/article[1]/p[2],12. Заитильщина,12,ru,none,[],[],False
v-Mk4DmOEe2ujLshT0EtOw,Дрыхнет,Low: to sleep.,Просторечное: спать.,['register/style'],"ост,
  Грейся, хвост собачий.
  "," Кот у очага
  И храпит немного,",Дрыхнет," Кот у очага</li>
  ",3930,3937,/div[1]/main[1]/article[1]/ul[4]/li[5],/div[1]/main[1]/article[1]/ul[4]/li[5],07. Записки охотника,07,ru,none,[],[],False
sqzgUmEhEe6sw5tj6teTbQ,Overbrowears,"A reference to the expression ""Выше лба уши не растут"" (over ones forehead ears do not grow) meaning that one has limits to what they can do. First mentioned in chapter 8 (R207/E101).",,"['intratextuality', 'phraseologism']","e ears on fire.
  “Can there be ","?” they inquired.
  
    I respo",Overbrowears,"?” they inquired.</li>
  ",3930,3942,/div[1]/main[1]/article[1]/ul[3]/li[4],/div[1]/main[1]/article[1]/ul[3]/li[4],11. Again the Notes,11,en,none,[],[],False
AysItl1XEe6_Qs-8OHvTkg,"the first use 
of a tank in battle took place during the Indian summer of 1916 
on the Bzura","The first use of the tank in combat was in the Battle of Flers–Courcelette (September 15–22, 1916). They were deployed by the British. However, Ostanin notices an anachronism: the first use of the tank was indeed in 1916, but the battle on the Bzura in Poland happened on September 9–22, 1939 (67). Sokolov notes in his response to Ostanin that he has in mind here the first battle at Bzura. However, in ""the new edition [of *Dog*],"" he ""has repaired this bit"" (""Bol'shoe"" 133).",,"['time', 'explanatory']","s of Morse code, announced that ",". War. The air is gray, listless","the first use 
of a tank in battle took place during the Indian summer of 1916 
on the Bzura",". <em>War</em>. The air is gray,",3930,4022,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Pictures from an Exhibition,09,en,none,[],[],False
QDnghtC0Ee2raDOxwcHykg,шествуя,"Literary, poetic, or ironic: to move, to walk.","Литературный, поэтический или иронический: двигаться (пешком), идти чинно, важно.",['register/style']," возражал Ксенофонт Ардальоныч, "," встреч 
тому с распахнутыми объ",шествуя," встреч 
тому с распахнутыми объ",3931,3938,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[95],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[95],"05. Ловчая повесть, или картинки с выставки",05,ru,full,[],[],False
JX_YzGR1Ee61RxdmqRtu-g,"whether it’s a place or a face, shadow 
or light, Gorodnishche or Bygodoshch","A series of indeterminate states, ambiguities. Again, between dog and wolf.",,"['theme', 'time']","ter after 
three. Fog—who knows ",": I revved up the tempo. 
A mine","whether it’s a place or a face, shadow 
or light, Gorodnishche or Bygodoshch",": I revved up the tempo. 
A mine",3931,4007,/div[1]/main[1]/article[1]/p[2]/hypothesis-highlight[12],/div[1]/main[1]/article[1]/p[2]/hypothesis-highlight[12],12. Discords Beyond the Itil,12,en,full,[],[],False
2yPvCGLFEe6zHusZ1iEOzg,lonesome babe,"Original Russian: *bobylka*. Colloquial: an unmarried, lonely (peasant) woman. She will make several appearances throughout the novel and is associated with Orina.",,"['character', 'register/style']","beyond river’s bend.
  And this ","-mare
  For the drinkers who ask",lonesome babe,"-mare</li>
  ",3933,3946,/div[1]/main[1]/article[1]/ul[2]/li[33],/div[1]/main[1]/article[1]/ul[2]/li[33],15. THE BINGER’S JOURNAL,15,en,none,[],[],False
5N9GbmLFEe6bgZc6_hn8jw,lonesome babe-mare,Animal-human motif.,,['motif'],"beyond river’s bend.
  And this ","
  For the drinkers who asked
  ",lonesome babe-mare,"</li>
  ",3933,3951,/div[1]/main[1]/article[1]/ul[2]/li[33]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/ul[2]/li[33]/hypothesis-highlight[2],15. THE BINGER’S JOURNAL,15,en,full,[],[],False
JWuJ6iJnEe2dlBsdUn-wSg,раскошелится,"Colloquial: to loosen one's pure strings, reach for one's wallet, pony up.","Разговорное: перестать скупиться, пойти на издержки. ",['register/style'],"чше птах. А кого 
проймет — сам ",. И начинаешь концерт. Протяну к,раскошелится,. И начинаешь концерт. Протяну к,3934,3946,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06,ru,none,[],[],False
9ZBjHnlsEe2rkWc9Sliq0g,Шуга,Icy water.,"Мелкий рыхлый лед, смешанный с водой.",['explanatory']," Городнищенского лудильщика


  "," отошла. И на пристани
  Защелка",Шуга," отошла. И на пристани</li>
  ",3935,3939,/div[1]/main[1]/article[1]/ul[4]/li[1],/div[1]/main[1]/article[1]/ul[4]/li[1],11. Опять записки,11,ru,none,[],[],False
8kZHxBULEe6HDD__880i1g,встреч,"Although at first look a misspelling, Sokolov affirms ""it is not a typo, but a synonym for 'navstrechu', a synonym that is not used today, it has become very archaic, I have not found it in dictionaries, but in the past I found it in texts of past centuries, I think it is not my invention"" (personal communication, June 27 2023).","Хотя с первого взгляда выглядит как опечатка, Соколов объясняет, что ""встреч - не опечатка, а синоним слова навстречу, синоним, который теперь не используется, он стал очень архаичным, я не нашел его в словарях, но прежде встречал в текстах прошлых веков, думаю, он не является моим изобретением"" (личная переписка, 27 июня 2023).","['language', 'archaism']","л Ксенофонт Ардальоныч, шествуя "," 
тому с распахнутыми объятьями,",встреч," 
тому с распахнутыми объятьями,",3939,3945,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],"05. Ловчая повесть, или картинки с выставки",05,ru,none,[],[],False
UYBZ4kiDEe2r3TOo_LZKAg,Постепенно находят,"That is, they find her dead, piece by piece.","То есть, находят ее мертвой, по частям.",['explanatory'],и Кондратий ее с испугу хватил. ,". Очи у нее ворон выклевал, гриб",Постепенно находят,". Очи у нее ворон выклевал, гриб",3939,3957,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],08. Заитильщина,08,ru,none,[],[],False
yI7-KlFJEe2qQSMZi3BdLQ,"И ветрено было, волнисто","An echo of the line ""Янко не боится ни ветра, ни волн"" (""Yanko is not afraid of the wind or waves"") from the previous chapter (R212/E110) and a line from the ""[Taman](https://www.gutenberg.org/cache/epub/913/pg913-images.html#link2H_4_0016)"" chapter of Mikhail Lermontov's *Hero of Our Time* (1841). A Tatar sailor, Yanko works as a smuggler who trades goods at Taman until the protagonist of the novel, ‎Grigory Alexandrovich Pechorin, disrupts his business. Read the original [here](http://feb-web.ru/feb/lermont/texts/selected/gnv/gnv-0432.htm).","Отголосок строки ""Янко не боится ни ветра, ни волн"" из предыдущей главы (R212/E110) и отрывка из главы ""[Тамань](http://feb-web.ru/feb/lermont/texts/selected/gnv/gnv-0432.htm)"" в повести *Герой нашего времени* М. Лермонтова (1841). Татарский моряк Янко торгует контрабандой в Тамани пока герой повести, Григорий Александрович Печорин, не вмешивается в его дела. Прочитать английский перевод главы можно [здесь](https://www.gutenberg.org/cache/epub/913/pg913-images.html#link2H_4_0016). ","['intertextuality', 'intratextuality']"," вся из себя, 
а пушка в мешке. ",", хлябь. Дома бабуля 
встречает ","И ветрено было, волнисто",", хлябь. Дома бабуля 
встречает ",3941,3965,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],10. Дзынзырэлы,10,ru,none,[],[],False
c8igtk5HEe6dHrsBj7Shsg,The time between wolf and hound,Twilight.,,"['time', 'theme']","
Note III

The Time Between


  ","
  Is good for a chat soul to so",The time between wolf and hound,"</li>
  ",3941,3972,/div[1]/main[1]/article[1]/ul[3]/li[1],/div[1]/main[1]/article[1]/ul[3]/li[1],03. Notes of a Binging Hunter,03,en,none,[],[],False
urYyivyREey21Gd5Wbnc2Q,Точильщик,"That is, Ilya.","То есть, Илья.","['explanatory', 'character']","бакой, за волком…


Записка IV

","

(Разговор с критиком)


  Не с",Точильщик,"</h3>

",3942,3951,/div[1]/main[1]/article[1]/h3[4],/div[1]/main[1]/article[1]/h3[4],03. Записки запойного охотника,03,ru,none,[],[],False
zE8e0GLFEe6fJJPe6Z4vEQ,mare,Mare. Animal motif.,,['motif']," bend.
  And this lonesome babe-","
  For the drinkers who asked
  ",mare,"</li>
  ",3947,3951,/div[1]/main[1]/article[1]/ul[2]/li[33],/div[1]/main[1]/article[1]/ul[2]/li[33],15. THE BINGER’S JOURNAL,15,en,none,['https://upload.wikimedia.org/wikipedia/commons/d/d1/Holsteiner_Apfelschimmel-2005.jpg'],[''],False
ee5N0JD0Ee2nadughvRdkA,Заволчьем,"Instead of indicating the territories that serve as setting for the novel as “Zavolzh’e” (Transvolga), the author uses this adjective (Transwolf-river) on the basis of his alternative name for the [Volga River](https://www.google.com/maps/place/Volga+River,+Russia/data=!4m2!3m1!1s0x41abfea34a299a3b:0x82d872a65cbe9fbb?sa=X&ved=2ahUKEwjCze_A-uj_AhVzrYkEHbRJBJkQ8gF6BAhoEAA&ved=2ahUKEwjCze_A-uj_AhVzrYkEHbRJBJkQ8gF6BQiEARAB) as “Volch'ia,” Wolf River.","Вместо того, чтобы называть территории, на которых разворачивается действие романа Заволжьем, автор использует производное прилагательное на основе своего альтернативного названия для [реки Волги](https://www.google.com/maps/place/Volga+River,+Russia/data=!4m2!3m1!1s0x41abfea34a299a3b:0x82d872a65cbe9fbb?sa=X&ved=2ahUKEwjCze_A-uj_AhVzrYkEHbRJBJkQ8gF6BAhoEAA&ved=2ahUKEwjCze_A-uj_AhVzrYkEHbRJBJkQ8gF6BQiEARAB): ""Волчья"" река.","['location', 'setting', 'Russia']",", что́ мы, которые 
 население, "," зовем. Почему и гребу, водомер,",Заволчьем," зовем. Почему и гребу, водомер,",3948,3957,/div[1]/main[1]/article[1]/p[2],/div[1]/main[1]/article[1]/p[2],14. От Ильи Петрикеича,14,ru,none,[],[],False
1u618KYmEe2N3LcMc6MNYQ,"Горных, речных и болотных полиций
  Бродят с проверкой ботинок посты.","The police move through the train cars inspecting passengers' soles to match them to those of a suspect. This scene recalls Cinderella's story. This reference could be to the episode in which Ilya and his companion steal a pair of boots from the hospital they ran away from (just a single pair, since both have only one leg each). Shoe motif.","Полицейские движутся по вагонам поезда, осматривая подошвы пассажиров для того, чтобы сравнить их с отпечатками подозреваемого. Данная сцена напоминает сказку о Золушке. Также, это может быть отсылкой к эпизоду, в котором Илья и его спутник крадут пару ботинок из больницы, откуда они сбежали (одну единственную пару, т. к. у каждого из них лишь одна нога). Мотив обуви.","['intertextuality', 'explanatory', 'intratextuality', 'motif']","  И по вагонам, сверяя листы,
  ","
  Ваши ботинки. Ботинки? изволь","Горных, речных и болотных полиций</li>
  <li>Бродят с проверкой ботинок посты.","</li>
  <li>Ваши ботинки. Ботинк",3951,4020,/div[1]/main[1]/article[1]/ul[3]/li[15],/div[1]/main[1]/article[1]/ul[3]/li[16],15. Журнал запойного,15,ru,none,[],[],False
7AvYXCZiEe6pnXMUZiwEBA,галок,"Jackdaw. According to Chadd and Taylor, folklore suggests that ""seeing a host of jackdaws can herald wealth or a new birth,"" while ""a lone bird can signal misfortune"" (121). The jackdaw is also frequently associated with thievery, much like the magpie (Rowland, *Birds* 86). Animal motif.",,['motif'],"ом, разлетаться по парку стаями ",", ворон, 
рассаживаться по ветвя",галок,", ворон, 
рассаживаться по ветвя",3954,3959,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[90],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[90],02. Ловчая повесть,02,ru,full,['https://upload.wikimedia.org/wikipedia/commons/5/53/Western_Jackdaw_and_Daurian_Jackdaw.jpg'],[''],False
S0eiOo3IEe2yq1u0EREjcQ,балаболками,Colloquial: chatterbox.,"Разговорное: те, кто много и легкомысленно болтают (разговаривают не по делу).

",['register/style'],"вую твердь, как все достигнутое ", в деле преодоления расстояний о,балаболками, в деле преодоления расстояний о,3957,3968,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],13. Картинки с выставки,13,ru,none,[],[],False
Af9h_jtMEe2cgXMs42UFAA,Очи,Archaism: eyes.,Архаизм: глаза.,"['archaism', 'register/style']",угу хватил. Постепенно находят. ," у нее ворон выклевал, грибки в ",Очи," у нее ворон выклевал, грибки в ",3959,3962,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],08. Заитильщина,08,ru,none,[],[],False
n7iRuAU7Ee6XFwOTOFiTUA,ворон,"Crow. Crows, like ravens, are often associated with death (Armstrong 75). Animal motif.","Воро́ны, как и во́роны, часто ассоциируются со смертью (Armstrong 75). Мотив животных.","['theme', 'motif']","летаться по парку стаями галок, ",", 
рассаживаться по ветвям, гомо",ворон,", 
рассаживаться по ветвям, гомо",3961,3966,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[86],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[86],02. Ловчая повесть,02,ru,full,['https://upload.wikimedia.org/wikipedia/commons/0/0a/Corvus-brachyrhynchos-001.jpg'],[''],False
xLkk7lMXEe6Wb08idZuREg,"the damper was 
closed and the siphon was opened",Signs requesting engineers close their trains' siphens and dampers to avoid setting fire to wooden structures such as bridges used to line railways. Railroad theme.,,"['theme', 'explanatory']","fore every tunnel, unfailingly, ",. To draw a passenger station: a,"the damper was 
closed and the siphon was opened",. To draw a passenger station: a,3964,4012,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],02. The Trapper's Tale,02,en,none,['https://upload.wikimedia.org/wikipedia/commons/e/eb/ЭК_ВНИИЖТ%2C_Щербинка_-_panoramio_%289%29.jpg'],[''],False
EckiHlFKEe2RH38RnT1m7g,хлябь,"Dialectical: wet mud, boggy ground.","Диалектическое: жидкая грязь, топь.",['register/style'],"ешке. И ветрено было, волнисто, ",". Дома бабуля 
встречает и ну ше",хлябь,". Дома бабуля 
встречает и ну ше",3967,3972,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],10. Дзынзырэлы,10,ru,none,[],[],False
mWfDygU6Ee6mAYP6qTQszQ,ворон,"Raven. Ravens, like crows, are associated with death, and they are frequently depicted eating eyes, as in [Proverbs 30:17](https://www.biblegateway.com/passage/?search=Proverbs%2030%3A17&version=NIV,NRT) and Milton's [*Animadversions*](https://milton.host.dartmouth.edu/reading_room/animadversions/text.shtml) (Rowland, *Birds* 146–147). Animal motif.","Воро́ны, как и во́роны, часто ассоциируются со смертью. Их часто представляют поедающими глаза: например, в [Притчах 30:17](https://www.biblegateway.com/passage/?search=Proverbs%2030%3A17&version=NIV,NRT) и [""Animadversions""](https://milton.host.dartmouth.edu/reading_room/animadversions/text.shtml) Мильтона (Rowland, *Birds* 146–147). Мотив животных.","['theme', 'intertextuality', 'motif']",. Постепенно находят. Очи у нее ," выклевал, грибки в туеске червя",ворон," выклевал, грибки в туеске червя",3969,3974,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],08. Заитильщина,08,ru,none,['https://upload.wikimedia.org/wikipedia/commons/a/a7/Head_of_Raven.jpg'],[''],False
4PXVJCO9Ee2_YdNEClZS0A,Протяну катушку ниток по зеленому лужку,"A folk tune (the original verb is ""raspushchu,"" not ""protyanu""). Available [here](https://m.vk.com/video-54657868_168414945).","Народная песня (в оригинале использован глагол ""распущу""). Послушать можно [здесь](https://m.vk.com/video-54657868_168414945).","['folklore', 'intertextuality', 'music', 'Russia']",кошелится. И начинаешь концерт. ,", отобью ли телеграмму моему мил",Протяну катушку ниток по зеленому лужку,", отобью ли телеграмму моему мил",3969,4008,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06,ru,none,[],[],False
307-yFPaEe6StQfiX3Alxg,"When ways of knowledge came to be too dreary,
  And city life, unsettling, hard to follow,
  First, I became a hunter—ordinary,
  But later turned into a binger—merry,
  
    With gaze both enlightened and quite hollow.",Yakov describes his move from the city to the upper Volga and his shift in character.,,"['explanatory', 'location']"," less and less, in stages?
  
  ","
  
  I like all months, Decembe","When ways of knowledge came to be too dreary,</li>
  <li>And city life, unsettling, hard to follow,</li>
  <li>First, I became a hunter—ordinary,</li>
  <li>But later turned into a binger—merry,</li>
  <li>
    <p>With gaze both enlightened and quite hollow.","</p>
  </li>
  <li>I like all mo",3969,4188,/div[1]/main[1]/article[1]/ul[3]/li[6],/div[1]/main[1]/article[1]/ul[3]/li[10]/p[1],07. Notes of a Hunter,07,en,none,[],[],False
PskFMmZ5Ee6fM8d6YS2lKg,Yakov,"Although appearing first only in chapter 4, this polymorphic character occupies a central role in the novel, being at once a dogkeeper, a hunter, a poet, a painter, and possibly the fictional author of the entire book. The ambiguity of his character is rooted in the similarity of his name with the word якобы (allegedly, supposedly). In a reply to Smith, published in a 1987 article (""The Verse in Sasha Sokolov's *Between Dog and Wolf*""), Sokolov himself stated that: ""the verse chapters are written by Iakov. He has nothing to do with me, but he has to be and is 'sophisticated', because he is that same painter who is discussed in the prose chapters (not the ones from Il'ia) 'The Hunter's Tale', where he is the youth living in his mother's house; the boy in love with the simple-minded girl whom the sailors take under the boat; the sketcher, the author of the Self-Portrait in Uniform and so forth; (And, of course, here, in this chapter, he is the hunter and poet who is ‘not fresh and not young’); 'The Hunter's Tale, or Pictures from an Exhibition', where he is Iakov Il'ich Palamakhterov, 'the incorruptible witness who is journeying towards the end of his practical and pitiless time,' and imagines the scene from nineteenth-century ethnography in which his greatgrandfather takes part; 'Pictures from an Exhibition' (9), where he observes street scenes from the window of a cadet school; see also the other similar parts of the book, 13 and 16. They are written (all of them) from the point of view of an author, but that of a stylized author, i.e., once again, not directly from myself. Iakov is a poet, a painter, a dreamer, a member of the intelligentsia, who was born and grew up in the city. He is already grown up when he comes to the Itil” (327). Yakov is likewise crucial to the structuring of the plot, as it is he who kills Ilya in revenge for the latter’s attack on his dogs.",,"['character', 'structure']","than the uttered one. Agitated, "," 
Ilyich would look at it and co",Yakov," 
Ilyich would look at it and co",3972,3977,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],16. The Trapper's Tale,16,en,none,[],[],False
A1-onGReEe6x3btaKLOWvQ,"may all your trespasses be forgotten, especially 
my drownin","Krylobyl participated in Ilya's drowning after the latter killed Yakov's dogs. A reference to the Last Judgment — according to Christian faith, the time when Jesus will return and judge all souls to determine whether they will reside in Heaven or Hell. See [Matthew 6:9–13](https://www.biblegateway.com/passage/?search=Matthew+6%3A9-13&version=ESV;NRT) and [Matthew 25:31-46](https://www.biblegateway.com/passage/?search=Matthew%2025%3A31-46&version=ESV,NRT). Johnson writes of Sokolov's time as a game warden on the Upper Volga: ""Sokolov's predecessor, whose cabin and effects he had inherited, had come to a bad end. There had been an incident involving the hunting dogs of a neighbor. A feud ensued, and the game garden had been found drowned. The official investigation had yielded little but suspicions"" (""Sasha Sokolov: A Literary Biography"" 208).",,"['explanatory', 'religion', 'bible', 'intertextuality', 'self-reference']"," recorded where 
it should, and ",". Courage, sayeth he, I’m in pos","may all your trespasses be forgotten, especially 
my drownin",". Courage, sayeth he, I’m in pos",3974,4034,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],17. The Last Remarks,17,en,none,[],[],False
Wf6SVIPBEe2g349vrF03YQ,рубцом,"According to *Encylopedia Britannica*, ""a wale is a column of loops running lengthwise, corresponding to the warp of woven fabric."" Sewing theme.",,['theme'],атого такого вельвета с широким ,", и кровли их — войлок, а может,",рубцом,", и кровли их — войлок, а может,",3976,3982,/div[1]/main[1]/article[1]/p[2],/div[1]/main[1]/article[1]/p[2],12. Заитильщина,12,ru,none,[],[],False
FDpvyMlxEeyexdvh03f2Bw,"Николай, паренек из утильной, в конечном итоге, артели. По фамильярному прозванью Угодник","Nikolay Ugodnik (Helperov in Boguslawski’s translation) is sometimes addressed with the diminutive Kolya. He is the protagonist of Note XVIII, “Transfiguration of Nikolay Helperov.” Here he is described in this manner: “We are pilgrims—he’s one far above us all, / We are cripples—he’s one far above the rest.” At the end of the Note, after a night of heavy drinking, Nikolay is transfigured (he has died): “Kolya learned to fly! / Crutches—like a pair of wings he bore. / He had turned into a falcon, poor old guy. / Drank too much. And he simply was no more.” (R204–205/E96). His life as “sincere loser in this world” is actually told by Ilya in chapter 1: his wife “got together with a wolf slayer and chased the Helper away from the house”; then, he tried to find a place to stay in Gorodnishche but was refused refuge at the “shelter for the unhearin”; he finally finds a place at the “house of the transient homeless,” but soon the “dame” notices him and asks: “Who’s the one so unsightly over there among you at the rink? Not to worry; it’s just Nikolka here among us skatin at the rink.” She asks the almshouse’s tenants to not let him live there forever, and after he leaves the house, it is reported that “durin a drunken incident got slightly upset and vanished somewhere, and it’s rather unlikely he’ll return” (R1501–151/E3–4). However, there is a second Nikolay in the book (appearing already in chapter 1), a young man from the village of Ploski (thus he is also called “Nikolay Ploskovsky”) who “never had his own name or, more precisely, had, but too long ago. And when that Nikolay the Helper went thru his transfiguration and flew away, this one snatched his name for himself—he did not allow, as they say, the goods to get wasted” (R153/E8). The name Nikolay (Nicholas) comes from the Greek words for “victory” and “people.” According to Eastern Orthodoxy, Nikolay Ugodnik (or Nikolay Chudotvorets, the Wonderworker) is Saint Nicholas, bishop of Myra (also known as Saint Nicholas of Bari), patron saint of travelers (sailors, merchants), prisoners, orphans and children in general, and others. Saint Nicholas is profoundly venerated by Russian Orthodoxy, and his life is often interpreted as concretizing various key ideas (wandering or continuous motion as source of salvation and purity; a mix of “otherness” and belonging). The figure of Saint Nicholas has served as the basis for a number of folkloric legends in Eastern Slavic tradition, and one of the most popular tales describes Nicholas as a wanderer across the Russian lands testing people for generosity, piety, and hospitality (see also T. Tsivian’s article “Nikolai Ugodnik — strannik na Russkoi zemle” 59).","Николай Угодник (сокращённо — Коля) — протагонист Записки 18, ""Преображение Николая Угодникова"". Там он описывается следующим образом: ""Мы — калики, он — калика из калик, / Мы — калеки, он — калека средь калек."" В конце Записки говорится, что после ночи тяжелого пьянства Николай преображается (умирает): ""летит Коля-Николай: / Костыли — как два крыла над головой. / Обратился, бедолага, в сокола́: / Перепил. И боле не было его"" (R204–205/E96). О жизни Николая как ""выступавшего по́ миру искреннего незадачника"" рассказывает Илья в главе 1: его жена ""поладила с волкобоем и сжила Угодника долой со двора""; затем он пытается найти ночлег в Городнище и встречает отказ от ""незрячего приюта"", но наконец останавливается в ""доме заезжих бездомных"", ""дама"" замечает его и спрашивает: ""Что это там у вас между вами невзрачный какой на катке? Не беспокойся, это просто Николка у нас между нами катается себе на катке."" Она просит владельцев приюта, чтобы они не позволили ему задержаться навсегда. После того, как Николай покидает заведание, сообщается, что он ""по пьяному делу маленько погорячился и куда-то такое пропал, да и вряд ли, пожалуй, объявится"" (R1501–151/E3–4). Впрочем, в книге также есть и второй Николай, уже появлявшийся в главе 1: молодой человек из Плосков (поэтому его и зовут Николай Плосковский), ""у которого имени собственного не было никогда, верней, было, но слишком давно. И когда Николаю Угоднику вышло преображение и он улетел, этот имя его себе урвал — не дал, называется, добру пропасть"" (R153/E8). Имя Николай (Николас) происходит от греческих определений ""победы"" и ""людей"". Согласно восточному православию, Николай Угодник (Николай Чудотворец, Святитель Николай) — Святой Николас, архиепископ Мир Ликийских (также известен как Святой Николай Барийский), святой покровитель путешественников (моряков, торговцев), заключенных, сирот, детей в принципе и остальных. Николай Чудотворец глубоко почитается в русском православии, а его жизнь интерпретируется как воплощение ряда важнейших представлений (блуждание или непрерывное движение как источник спасения и очищения; сочетание ""инаковости"" и чувства связи, сопричастности). Его образ послужил фундаментом для различных фольклорных сюжетов в восточнославянской традиции. Одна из самых известных сказок рассказывает о Николае как о страннике, блуждающего по русским землям и проверяющего людей на щедрость, благочестие и гостеприимство (см. также T. Tsivian, article ""Nikolai Ugodnik — strannik na Russkoi zemle"" 59).","['religion', 'intertextuality', 'intratextuality', 'character', 'folklore']","т 
покрутиться всем давал такой ",", выступал он по́ миру как искре","Николай, паренек из утильной, в конечном итоге, артели. По фамильярному прозванью Угодник",", выступал он по́ миру как искре",3977,4066,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01,ru,none,[],[],False
v3Ou4BAlEe2FtrfMrbps_g,какими судьбами,Set expression: how did you end up here?,Устойчивое выражение: (при неожиданной встрече) как вы здесь оказались? ,['phraseologism'],"
тому с распахнутыми объятьями, ","? И поскольку 
Никодим Ермолаич ",какими судьбами,"? И поскольку 
Никодим Ермолаич ",3978,3993,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],"05. Ловчая повесть, или картинки с выставки",05,ru,none,[],[],False
ekWPwmZ5Ee68UvPEX4YOcQ,Ilyich,"Yakov Alfeev's patronymic implies that Ilya is his father. However, this reading is debatable. D.B. Johnson notes: ""Yakov is Ilya's son – to whatever extent anything is anything in the twilight world between dog and wolf. Both Yakov and Ilya remain unaware of this, however, and when their later lives as grinder and dogkeeper finally and fatally cross, they are equally unaware of their transient friendship in the hospital (…). [Yakov is] re-enacting the role of the lame Oedipus. He unwittingly both kills his father and (albeit not literally) 'marries' a version of his mother. Sokolov has restaged the Greek myth of Oedipus amid the headwaters of the Volga” (“Sasha Sokolov's *Between Dog and Wolf* and the Modernist Tradition” 211–212). In fact, Ilya will be killed by Yakov in revenge, as the former (at twilight, while crossing the frozen river) takes one of the latter's dogs for a wolf and attacks it. After the hunters steal his crutches, Yakov returns to murder the dogs. For a consideration of Sokolov's mythopoetics, see also Ashcheulova's ""Tvorchestvo Sashi Sokolova v kontekste literaturnogo protsessa 60-80-x godov.""",,"['intertextuality', 'character']","e uttered one. Agitated, Yakov 
", would look at it and completely,Ilyich, would look at it and completely,3979,3985,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],16. The Trapper's Tale,16,en,none,[],[],False
